col,pergunta_forms_atual,destino_no_glpi,formulario_glpi,decisao
1,Id,Descartado,-,"Numeracao passa a ser o ID nativo do chamado GLPI"
2,Hora de inicio,Descartado,-,"GLPI carimba a data de abertura"
3,Hora de conclusao,Descartado,-,"GLPI carimba data de solucao e de fechamento"
4,E-mail,Automatico,todos,"Vem do usuario autenticado. Exige conta individual no GLPI"
5,Nome,Automatico,todos,"Vem do usuario autenticado"
6,Nome completo do solicitante (com sobrenome),Descartado,-,"Duplicado do campo Nome do usuario autenticado"
7,Data em que o problema ocorreu,Pergunta mantida,"Sistemas; Infraestrutura","Data em que comecou. Util para correlacionar incidentes"
8,Setor / Departamento,Automatico,todos,"Vem do grupo Setor do usuario. Base do roteamento e da aprovacao"
9,Categoria do chamado,Estrutural,-,"Vira a escolha do formulario no catalogo. Nao e mais pergunta"
10,Qual sistema?,Pergunta mantida,Sistemas,"ERP Protheus / Fluig / Transmite / Outro sistema. Dispara a logica condicional"
11,Modulo do Protheus,Pergunta condicional,Sistemas,"15 opcoes reais. Condicional a sistema = Protheus"
12,Tipo de demanda no sistema (Protheus),Pergunta condicional,Sistemas,"7 opcoes reais observadas na base"
13,Como configurar o acesso ao Protheus?,Pergunta condicional,"Sistemas; Acessos","Condicional dupla: sistema = Protheus E tipo = Acesso"
14,Colaborador de referencia (Protheus),Pergunta condicional,"Sistemas; Acessos","Condicional dupla. Alimenta a copia de perfil"
15,Tipo de demanda no Fluig,Pergunta condicional,Sistemas,"Condicional a sistema = Fluig"
16,Configuracao de acesso ao Fluig,Pergunta condicional,"Sistemas; Acessos","Condicional dupla"
17,Colaborador de referencia (Fluig),Pergunta condicional,"Sistemas; Acessos","Condicional dupla"
18,Tipo de demanda no Transmite,Pergunta condicional,Sistemas,"Condicional a sistema = Transmite"
19,Configuracao de acesso ao Transmite,Pergunta condicional,"Sistemas; Acessos","Condicional dupla"
20,Colaborador de referencia (Transmite),Pergunta condicional,"Sistemas; Acessos","Condicional dupla"
21,Descreva detalhadamente o problema,Pergunta mantida,todos,"Vira o campo Descricao do chamado. Obrigatorio"
22,Anexe uma evidencia (print ou arquivo),Pergunta mantida,todos,"Anexo nativo do GLPI. Aceita qualquer tipo, conforme DECISAO 07"
23,Se o problema for de INTERNET/REDE voce verificou se:,Reformulada,Infraestrutura,"Vira a pergunta de impacto: Quantas pessoas foram afetadas"
